Nr. NCSS CCN JVDC Function
  1    5   2    0 ds.ArvoreBinaria.central(No)
  2   11   7    0 ds.ArvoreBinaria.pesquisa(Item,No)
  3   15   4    0 ds.ArvoreBinaria.insere(Item,No)
  4    7   2    0 ds.ArvoreBinaria.antecessor(No,No)
  5   18   6    0 ds.ArvoreBinaria.retira(Item,No)
  6    2   1    0 ds.ArvoreBinaria.ArvoreBinaria()
  7    2   1    0 ds.ArvoreBinaria.pesquisa(Item)
  8    2   1    0 ds.ArvoreBinaria.insere(Item)
  9    2   1    0 ds.ArvoreBinaria.retira(Item)
 10   13   7    0 ds.ArvoreBinaria.testa(No)
 11    2   1    0 ds.ArvoreBinaria.testa()
Average Function NCSS:       7.18
Average Function CCN:        3.00
Average Function JVDC:       0.00
Program NCSS:               85.00
