01Max:ds.Max:8.00:3.00
02MaxMin:ds.MaxMin1:13.00:4.00
03MaxMin:ds.MaxMin2:14.00:4.00
04MaxMin:ds.MaxMin3:32.00:9.00
05Ordenacao:ds.Ordenacao:11.00:4.00
06Fibonacci:ds.Fibonacci:8.00:2.00
07Fibonacci:ds.Fibonacci:8.00:2.00
08MaxMin:ds.MaxMin4:26.00:5.00
09Ordenacao:ds.Ordenacao:22.00:4.00
10AvaliaMultMatrizes:ds.AvaliaMultMatrizes:18.00:6.00
11ListArray:ds.Lista:20.00:1.75
12Lista:ds.Lista:23.00:1.25
13Pilha:ds.Pilha:20.00:1.80
14Pilha:ds.Pilha:27.00:1.40
15Fila:ds.Fila:24.00:2.00
16Fila:ds.Fila:32.00:1.60
17Ordenacao:ds.Ordenacao:74.00:3.43
18FPHeapMax:ds.FPHeapMax:59.00:2.67
19FPHeapMin:ds.FPHeapMin:62.00:2.50
20Tabela:ds.Tabela:32.00:3.50
21ArvoreBinaria:ds.ArvoreBinaria:85.00:3.00
22TabelaHash:ds.TabelaHash:61.00:2.10
23TabelaHash:ds.TabelaHash:88.00:3.17
24Grafo:ds.Grafo:60.00:2.89
25Grafo:ds.Grafo:66.00:1.56
26Grafo:ds.Grafo:88.00:2.21
27Grafo:ds.Grafo:65.00:1.56
28BuscaEmLargura:ds.Grafo:65.00:1.56
29Grafo:ds.Grafo:65.00:1.56
30Lista:ds.AgmPrim:40.00:2.60
31CasamentoExato:ds.CasamentoExato:55.00:6.25
32CasamentoAproximado:ds.CasamentoAproximado:24.00:7.00
