01Max:3:6:5406:3
02MaxMin:5:6:1021:3
03MaxMin:5:5:944:4
04MaxMin:5:10:955:5
05Ordenacao:3:4:6179:4
06Fibonacci:3:4:33:2
07Fibonacci:3:4:33:2
08MaxMin:7:3:3310:4
09Ordenacao:6:1:3500:2
10AvaliaMultMatrizes:5:4:4320:6
11ListArray:14:7:507:7
12Lista:7:3:285:6
13Pilha:17:10:482:8
14Pilha:10:5:403:7
15Fila:14:7:229:9
16Fila:10:5:288:8
17Ordenacao:15:7:4865:26
18FPHeapMax:21:6:817:25
19FPHeapMin:25:14:620:26
20Tabela:10:8:482:10
21ArvoreBinaria:14:10:2133:5
22TabelaHash:11:7:346:13
23TabelaHash:11:10:384:26
24Grafo:19:1:113:22
25Grafo:18:5:1477:22
26Grafo:19:4:162:23
27Grafo:1:2:1709:22
28BuscaEmLargura:5:3:1601:22
29Grafo:4:3:1701:22
30Lista:1:2:58:20
31CasamentoExato:16:4:5777:53
32CasamentoAproximado:8:5:861:14
