PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;3/4;75%;12/14;86%
02MaxMin;ds.MaxMin1;7/8;88%;17/21;81%
03MaxMin;ds.MaxMin2;7/8;88%;17/21;81%
04MaxMin;ds.MaxMin3;15/16;94%;44/61;72%
05Ordenacao;ds.Ordenacao;9/10;90%;17/21;81%
06Fibonacci;ds.Fibonacci;5/6;83%;12/12;100%
07Fibonacci;ds.Fibonacci;5/6;83%;12/12;100%
08MaxMin;ds.MaxMin4;12/13;92%;33/41;80%
09Ordenacao;ds.Ordenacao;15/16;94%;51/56;91%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13/14;93%;29/75;39%
11ListArray;ds.Lista;12/12;100%;19/29;66%
12Lista;ds.Lista;12/12;100%;15/21;71%
13Pilha;ds.Pilha;12/12;100%;20/27;74%
14Pilha;ds.Pilha;17/17;100%;18/27;67%
15Fila;ds.Fila;15/19;79%;23/40;58%
16Fila;ds.Fila;23/23;100%;22/32;69%
17Ordenacao;ds.Ordenacao;47/49;96%;121/141;86%
18FPHeapMax;ds.FPHeapMax;39/40;98%;89/116;77%
19FPHeapMin;ds.FPHeapMin;12/42;29%;35/120;29%
20Tabela;ds.Tabela;21/21;100%;38/55;69%
21ArvoreBinaria;ds.ArvoreBinaria;39/48;81%;81/145;56%
22TabelaHash;ds.TabelaHash;35/35;100%;52/88;59%
23TabelaHash;ds.TabelaHash;42/51;82%;77/162;48%
24Grafo;ds.Grafo;42/42;100%;98/134;73%
25Grafo;ds.Grafo;33/34;97%;65/95;68%
26Grafo;ds.Grafo;49/51;96%;83/113;73%
27Grafo;ds.Grafo;20/33;61%;29/94;31%
28BuscaEmLargura;ds.Grafo;13/33;39%;13/94;14%
29Grafo;ds.Grafo;28/33;85%;36/94;38%
30Lista;ds.AgmPrim;30/31;97%;27/71;38%
31CasamentoExato;ds.CasamentoExato;39/40;98%;82/205;40%
32CasamentoAproximado;ds.CasamentoAproximado;18/19;95%;26/88;30%
