PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4/4;100%;10/14;71%
02MaxMin;ds.MaxMin1;8/8;100%;14/21;67%
03MaxMin;ds.MaxMin2;8/8;100%;6/21;29%
04MaxMin;ds.MaxMin3;16/16;100%;16/61;26%
05Ordenacao;ds.Ordenacao;10/10;100%;17/21;81%
06Fibonacci;ds.Fibonacci;6/6;100%;12/12;100%
07Fibonacci;ds.Fibonacci;6/6;100%;9/12;75%
08MaxMin;ds.MaxMin4;13/13;100%;8/41;20%
09Ordenacao;ds.Ordenacao;15/16;94%;12/56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13/14;93%;23/75;31%
11ListArray;ds.Lista;12/12;100%;20/29;69%
12Lista;ds.Lista;12/12;100%;14/21;67%
13Pilha;ds.Pilha;12/12;100%;20/27;74%
14Pilha;ds.Pilha;17/17;100%;21/27;78%
15Fila;ds.Fila;19/19;100%;34/40;85%
16Fila;ds.Fila;23/23;100%;21/32;66%
17Ordenacao;ds.Ordenacao;34/49;69%;50/141;35%
18FPHeapMax;ds.FPHeapMax;32/40;80%;46/116;40%
19FPHeapMin;ds.FPHeapMin;41/42;98%;55/120;46%
20Tabela;ds.Tabela;21/21;100%;37/55;67%
21ArvoreBinaria;ds.ArvoreBinaria;28/48;58%;31/145;21%
22TabelaHash;ds.TabelaHash;35/35;100%;51/88;58%
23TabelaHash;ds.TabelaHash;49/51;96%;83/162;51%
24Grafo;ds.Grafo;0/42;0%;0/134;0%
25Grafo;ds.Grafo;22/34;65%;36/95;38%
26Grafo;ds.Grafo;40/51;78%;34/113;30%
27Grafo;ds.Grafo;10/33;30%;10/94;11%
28BuscaEmLargura;ds.Grafo;6/33;18%;11/94;12%
29Grafo;ds.Grafo;6/33;18%;10/94;11%
30Lista;ds.AgmPrim;14/31;45%;4/71;6%
31CasamentoExato;ds.CasamentoExato;29/40;73%;43/205;21%
32CasamentoAproximado;ds.CasamentoAproximado;19/19;100%;28/88;32%
