PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
33Identifier;ds.seed5482.AllSmart;167;0;0;167;223
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5503.AllSmart;13;0;0;13;194
02MaxMin;ds.seed5503.AllSmart;27;0;0;27;201
03MaxMin;ds.seed5503.AllSmart;32;0;0;32;202
04MaxMin;ds.seed5503.AllSmart;60;0;0;60;234
05Ordenacao;ds.seed5503.AllSmart;45;0;0;45;195
06Fibonacci;ds.seed5503.AllSmart;17;0;0;17;6485
07Fibonacci;ds.seed5503.AllSmart;29;0;0;29;199
08MaxMin;ds.seed5503.AllSmart;63;0;0;63;215
09Ordenacao;ds.seed5503.AllSmart;19;0;0;19;204
10AvaliaMultMatrizes;ds.seed5503.AllSmart;36;0;0;36;204
11ListArray;ds.seed5503.AllSmart;77;0;0;77;205
12Lista;ds.seed5503.AllSmart;64;0;0;64;221
13Pilha;ds.seed5503.AllSmart;85;0;0;85;213
14Pilha;ds.seed5503.AllSmart;113;0;0;113;222
15Fila;ds.seed5503.AllSmart;75;0;1;76;239
16Fila;ds.seed5503.AllSmart;76;0;0;76;226
17Ordenacao;ds.seed5503.AllSmart;67;0;0;67;268
18FPHeapMax;ds.seed5503.AllSmart;156;0;0;156;232
19FPHeapMin;ds.seed5503.AllSmart;128;0;0;128;228
20Tabela;ds.seed5503.AllSmart;9;0;1;10;223
21ArvoreBinaria;ds.seed5503.AllSmart;23;0;2;25;218
22TabelaHash;ds.seed5503.AllSmart;85;0;0;85;246
23TabelaHash;ds.seed5503.AllSmart;98;0;1;99;223
24Grafo;ds.seed5503.AllSmart;37;0;0;37;369
25Grafo;ds.seed5503.AllSmart;72;0;0;72;268
26Grafo;ds.seed5503.AllSmart;94;0;0;94;248
27Grafo;ds.seed5503.AllSmart;126;0;0;126;290
28BuscaEmLargura;ds.seed5503.AllSmart;132;0;0;132;355
29Grafo;ds.seed5503.AllSmart;144;0;0;144;377
30Lista;ds.seed5503.AllSmart;7;0;0;7;242
31CasamentoExato;ds.seed5503.AllSmart;341;0;0;341;283
32CasamentoAproximado;ds.seed5503.AllSmart;347;0;0;347;257
33Identifier;ds.seed5503.AllSmart;150;0;0;150;217
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5831.AllSmart;12;0;0;12;226
02MaxMin;ds.seed5831.AllSmart;27;0;0;27;196
03MaxMin;ds.seed5831.AllSmart;29;0;0;29;192
04MaxMin;ds.seed5831.AllSmart;54;0;0;54;224
05Ordenacao;ds.seed5831.AllSmart;35;0;0;35;208
06Fibonacci;ds.seed5831.AllSmart;35;0;0;35;196
07Fibonacci;ds.seed5831.AllSmart;34;0;0;34;32630
08MaxMin;ds.seed5831.AllSmart;22;0;0;22;198
09Ordenacao;ds.seed5831.AllSmart;23;0;0;23;200
10AvaliaMultMatrizes;ds.seed5831.AllSmart;40;0;0;40;191
11ListArray;ds.seed5831.AllSmart;50;0;0;50;214
12Lista;ds.seed5831.AllSmart;81;0;0;81;217
13Pilha;ds.seed5831.AllSmart;79;0;0;79;204
14Pilha;ds.seed5831.AllSmart;85;0;0;85;209
15Fila;ds.seed5831.AllSmart;64;0;0;64;233
16Fila;ds.seed5831.AllSmart;87;0;0;87;244
17Ordenacao;ds.seed5831.AllSmart;62;0;0;62;299
18FPHeapMax;ds.seed5831.AllSmart;163;0;0;163;249
19FPHeapMin;ds.seed5831.AllSmart;125;0;0;125;259
20Tabela;ds.seed5831.AllSmart;8;0;0;8;203
21ArvoreBinaria;ds.seed5831.AllSmart;24;0;2;26;232
22TabelaHash;ds.seed5831.AllSmart;138;0;2;140;253
23TabelaHash;ds.seed5831.AllSmart;115;0;0;115;250
24Grafo;ds.seed5831.AllSmart;33;0;0;33;393
25Grafo;ds.seed5831.AllSmart;105;0;0;105;320
26Grafo;ds.seed5831.AllSmart;81;0;1;82;275
27Grafo;ds.seed5831.AllSmart;105;0;0;105;315
28BuscaEmLargura;ds.seed5831.AllSmart;118;0;0;118;341
29Grafo;ds.seed5831.AllSmart;200;0;0;200;361
30Lista;ds.seed5831.AllSmart;7;0;0;7;268
31CasamentoExato;ds.seed5831.AllSmart;331;0;0;331;281
32CasamentoAproximado;ds.seed5831.AllSmart;335;0;0;335;251
33Identifier;ds.seed5831.AllSmart;143;0;0;143;227
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5838.AllSmart;12;0;0;12;199
02MaxMin;ds.seed5838.AllSmart;31;0;0;31;192
03MaxMin;ds.seed5838.AllSmart;44;0;0;44;217
04MaxMin;ds.seed5838.AllSmart;42;0;0;42;212
05Ordenacao;ds.seed5838.AllSmart;27;0;0;27;205
06Fibonacci;ds.seed5838.AllSmart;34;0;0;34;29723
07Fibonacci;ds.seed5838.AllSmart;14;0;0;14;5994
08MaxMin;ds.seed5838.AllSmart;44;0;0;44;197
09Ordenacao;ds.seed5838.AllSmart;19;0;0;19;210
10AvaliaMultMatrizes;ds.seed5838.AllSmart;38;0;0;38;204
11ListArray;ds.seed5838.AllSmart;77;0;0;77;221
12Lista;ds.seed5838.AllSmart;90;0;0;90;223
13Pilha;ds.seed5838.AllSmart;104;0;0;104;224
14Pilha;ds.seed5838.AllSmart;58;0;1;59;223
15Fila;ds.seed5838.AllSmart;84;0;0;84;219
16Fila;ds.seed5838.AllSmart;93;0;1;94;227
17Ordenacao;ds.seed5838.AllSmart;74;0;0;74;238
18FPHeapMax;ds.seed5838.AllSmart;182;0;0;182;240
19FPHeapMin;ds.seed5838.AllSmart;97;0;0;97;241
20Tabela;ds.seed5838.AllSmart;9;0;0;9;219
21ArvoreBinaria;ds.seed5838.AllSmart;24;0;2;26;229
22TabelaHash;ds.seed5838.AllSmart;103;0;2;105;227
23TabelaHash;ds.seed5838.AllSmart;103;0;1;104;238
24Grafo;ds.seed5838.AllSmart;46;0;0;46;406
25Grafo;ds.seed5838.AllSmart;111;0;0;111;289
26Grafo;ds.seed5838.AllSmart;70;0;0;70;328
27Grafo;ds.seed5838.AllSmart;187;0;0;187;1281
28BuscaEmLargura;ds.seed5838.AllSmart;156;0;0;156;632
29Grafo;ds.seed5838.AllSmart;164;0;0;164;323
30Lista;ds.seed5838.AllSmart;8;0;0;8;230
31CasamentoExato;ds.seed5838.AllSmart;339;0;0;339;259
32CasamentoAproximado;ds.seed5838.AllSmart;335;0;0;335;238
33Identifier;ds.seed5838.AllSmart;154;0;0;154;216
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed6733.AllSmart;12;0;0;12;195
02MaxMin;ds.seed6733.AllSmart;24;0;0;24;193
03MaxMin;ds.seed6733.AllSmart;41;0;0;41;205
04MaxMin;ds.seed6733.AllSmart;56;0;0;56;204
05Ordenacao;ds.seed6733.AllSmart;28;0;0;28;190
06Fibonacci;ds.seed6733.AllSmart;34;0;0;34;203
07Fibonacci;ds.seed6733.AllSmart;43;0;0;43;197
08MaxMin;ds.seed6733.AllSmart;36;0;0;36;205
09Ordenacao;ds.seed6733.AllSmart;19;0;0;19;200
10AvaliaMultMatrizes;ds.seed6733.AllSmart;28;0;0;28;198
11ListArray;ds.seed6733.AllSmart;65;0;0;65;211
12Lista;ds.seed6733.AllSmart;69;0;0;69;220
13Pilha;ds.seed6733.AllSmart;98;0;0;98;224
14Pilha;ds.seed6733.AllSmart;78;0;2;80;228
15Fila;ds.seed6733.AllSmart;62;0;1;63;213
16Fila;ds.seed6733.AllSmart;111;0;0;111;214
17Ordenacao;ds.seed6733.AllSmart;64;0;0;64;240
18FPHeapMax;ds.seed6733.AllSmart;121;0;1;122;222
19FPHeapMin;ds.seed6733.AllSmart;119;0;0;119;228
20Tabela;ds.seed6733.AllSmart;10;0;0;10;201
21ArvoreBinaria;ds.seed6733.AllSmart;26;0;2;28;227
22TabelaHash;ds.seed6733.AllSmart;71;0;2;73;253
23TabelaHash;ds.seed6733.AllSmart;97;0;1;98;235
24Grafo;ds.seed6733.AllSmart;44;0;0;44;359
25Grafo;ds.seed6733.AllSmart;105;0;0;105;259
26Grafo;ds.seed6733.AllSmart;107;2;0;109;347
27Grafo;ds.seed6733.AllSmart;157;0;0;157;367
28BuscaEmLargura;ds.seed6733.AllSmart;167;0;1;168;320
29Grafo;ds.seed6733.AllSmart;144;0;0;144;265
30Lista;ds.seed6733.AllSmart;9;0;0;9;260
31CasamentoExato;ds.seed6733.AllSmart;363;0;0;363;319
32CasamentoAproximado;ds.seed6733.AllSmart;311;0;0;311;246
33Identifier;ds.seed6733.AllSmart;125;0;0;125;207
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed7992.AllSmart;12;0;0;12;197
02MaxMin;ds.seed7992.AllSmart;34;0;0;34;207
03MaxMin;ds.seed7992.AllSmart;29;0;0;29;233
04MaxMin;ds.seed7992.AllSmart;52;0;0;52;209
05Ordenacao;ds.seed7992.AllSmart;29;0;0;29;200
06Fibonacci;ds.seed7992.AllSmart;36;0;0;36;196
07Fibonacci;ds.seed7992.AllSmart;17;0;0;17;9563
08MaxMin;ds.seed7992.AllSmart;27;0;0;27;201
09Ordenacao;ds.seed7992.AllSmart;25;0;0;25;196
10AvaliaMultMatrizes;ds.seed7992.AllSmart;26;0;0;26;192
11ListArray;ds.seed7992.AllSmart;87;0;1;88;248
12Lista;ds.seed7992.AllSmart;75;0;0;75;207
13Pilha;ds.seed7992.AllSmart;90;0;0;90;210
14Pilha;ds.seed7992.AllSmart;64;0;0;64;223
15Fila;ds.seed7992.AllSmart;77;0;0;77;208
16Fila;ds.seed7992.AllSmart;69;0;0;69;207
17Ordenacao;ds.seed7992.AllSmart;55;0;0;55;225
18FPHeapMax;ds.seed7992.AllSmart;155;0;1;156;227
19FPHeapMin;ds.seed7992.AllSmart;110;0;0;110;239
20Tabela;ds.seed7992.AllSmart;10;0;0;10;209
21ArvoreBinaria;ds.seed7992.AllSmart;26;0;2;28;219
22TabelaHash;ds.seed7992.AllSmart;146;1;2;149;249
23TabelaHash;ds.seed7992.AllSmart;87;0;0;87;235
24Grafo;ds.seed7992.AllSmart;41;0;1;42;400
25Grafo;ds.seed7992.AllSmart;109;1;0;110;267
26Grafo;ds.seed7992.AllSmart;132;3;0;135;271
27Grafo;ds.seed7992.AllSmart;148;0;0;148;303
28BuscaEmLargura;ds.seed7992.AllSmart;183;0;0;183;304
29Grafo;ds.seed7992.AllSmart;130;0;0;130;342
30Lista;ds.seed7992.AllSmart;8;0;0;8;263
31CasamentoExato;ds.seed7992.AllSmart;357;0;0;357;274
32CasamentoAproximado;ds.seed7992.AllSmart;303;0;0;303;240
33Identifier;ds.seed7992.AllSmart;66;0;0;66;211
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed9006.AllSmart;12;0;0;12;198
02MaxMin;ds.seed9006.AllSmart;18;0;0;18;197
03MaxMin;ds.seed9006.AllSmart;32;0;0;32;193
04MaxMin;ds.seed9006.AllSmart;62;0;0;62;215
