PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed1448.All;2277;0;0;2277;320
02MaxMin;ds.seed1448.All;1647;0;0;1647;366
03MaxMin;ds.seed1448.All;1662;0;0;1662;288
04MaxMin;ds.seed1448.All;1395;0;0;1395;405
05Ordenacao;ds.seed1448.All;1959;0;0;1959;400
06Fibonacci;ds.seed1448.All;49;0;0;49;26359
07Fibonacci;ds.seed1448.All;67;0;0;67;49114
08MaxMin;ds.seed1448.All;2383;0;0;2383;413
09Ordenacao;ds.seed1448.All;1881;0;0;1881;284
10AvaliaMultMatrizes;ds.seed1448.All;1733;0;0;1733;384
11ListArray;ds.seed1448.All;780;0;1;781;269
12Lista;ds.seed1448.All;879;0;0;879;276
13Pilha;ds.seed1448.All;799;0;0;799;256
14Pilha;ds.seed1448.All;839;1;0;840;267
15Fila;ds.seed1448.All;914;0;0;914;301
16Fila;ds.seed1448.All;437;0;0;437;243
17Ordenacao;ds.seed1448.All;2510;0;0;2510;484
18FPHeapMax;ds.seed1448.All;669;0;1;670;260
19FPHeapMin;ds.seed1448.All;573;0;0;573;252
20Tabela;ds.seed1448.All;695;0;0;695;253
21ArvoreBinaria;ds.seed1448.All;1544;0;2;1546;351
22TabelaHash;ds.seed1448.All;670;26;1;697;315
23TabelaHash;ds.seed1448.All;523;12;2;537;270
24Grafo;ds.seed1448.All;413;0;0;413;1180
25Grafo;ds.seed1448.All;1212;0;0;1212;394
26Grafo;ds.seed1448.All;574;0;0;574;293
27Grafo;ds.seed1448.All;1524;0;0;1524;590
28BuscaEmLargura;ds.seed1448.All;1450;0;0;1450;574
29Grafo;ds.seed1448.All;1495;0;0;1495;487
30Lista;ds.seed1448.All;67;0;0;67;243
31CasamentoExato;ds.seed1448.All;4020;0;0;4020;588
32CasamentoAproximado;ds.seed1448.All;4068;0;0;4068;582
33Identifier;ds.seed1448.All;1288;0;0;1288;281
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5311.All;2206;0;0;2206;409
02MaxMin;ds.seed5311.All;1701;0;0;1701;397
03MaxMin;ds.seed5311.All;1754;0;0;1754;373
04MaxMin;ds.seed5311.All;1697;0;0;1697;345
05Ordenacao;ds.seed5311.All;2000;0;0;2000;420
06Fibonacci;ds.seed5311.All;65;0;0;65;22802
07Fibonacci;ds.seed5311.All;68;0;0;68;46211
08MaxMin;ds.seed5311.All;2198;0;0;2198;466
09Ordenacao;ds.seed5311.All;1894;0;0;1894;329
10AvaliaMultMatrizes;ds.seed5311.All;1892;0;0;1892;316
11ListArray;ds.seed5311.All;914;0;0;914;270
12Lista;ds.seed5311.All;785;0;0;785;280
13Pilha;ds.seed5311.All;942;0;0;942;279
14Pilha;ds.seed5311.All;779;1;0;780;261
15Fila;ds.seed5311.All;440;0;1;441;237
16Fila;ds.seed5311.All;599;0;1;600;265
17Ordenacao;ds.seed5311.All;2374;0;0;2374;347
18FPHeapMax;ds.seed5311.All;798;1;0;799;271
19FPHeapMin;ds.seed5311.All;507;0;0;507;252
20Tabela;ds.seed5311.All;312;0;0;312;215
21ArvoreBinaria;ds.seed5311.All;1717;0;1;1718;357
22TabelaHash;ds.seed5311.All;706;1;2;709;302
23TabelaHash;ds.seed5311.All;553;0;2;555;285
24Grafo;ds.seed5311.All;409;1;0;410;1349
25Grafo;ds.seed5311.All;1499;0;0;1499;549
26Grafo;ds.seed5311.All;433;0;0;433;294
27Grafo;ds.seed5311.All;1436;0;0;1436;380
28BuscaEmLargura;ds.seed5311.All;1459;0;0;1459;465
29Grafo;ds.seed5311.All;1318;0;0;1318;377
30Lista;ds.seed5311.All;69;0;0;69;277
31CasamentoExato;ds.seed5311.All;3768;0;0;3768;457
32CasamentoAproximado;ds.seed5311.All;3479;0;0;3479;462
33Identifier;ds.seed5311.All;1251;0;0;1251;326
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5482.All;2186;0;0;2186;427
02MaxMin;ds.seed5482.All;1556;0;0;1556;413
03MaxMin;ds.seed5482.All;1080;0;0;1080;291
04MaxMin;ds.seed5482.All;1567;0;0;1567;305
05Ordenacao;ds.seed5482.All;1950;0;0;1950;398
06Fibonacci;ds.seed5482.All;54;0;0;54;26253
07Fibonacci;ds.seed5482.All;76;0;0;76;17430
08MaxMin;ds.seed5482.All;2100;0;0;2100;426
09Ordenacao;ds.seed5482.All;1781;0;0;1781;333
10AvaliaMultMatrizes;ds.seed5482.All;1939;0;0;1939;323
11ListArray;ds.seed5482.All;976;0;0;976;252
12Lista;ds.seed5482.All;834;0;0;834;290
13Pilha;ds.seed5482.All;949;0;0;949;293
14Pilha;ds.seed5482.All;803;0;0;803;277
15Fila;ds.seed5482.All;408;0;2;410;257
16Fila;ds.seed5482.All;448;0;0;448;242
17Ordenacao;ds.seed5482.All;2526;0;0;2526;504
18FPHeapMax;ds.seed5482.All;700;0;0;700;255
19FPHeapMin;ds.seed5482.All;584;0;1;585;255
20Tabela;ds.seed5482.All;722;0;0;722;248
21ArvoreBinaria;ds.seed5482.All;1653;1;2;1656;466
22TabelaHash;ds.seed5482.All;684;11;1;696;308
23TabelaHash;ds.seed5482.All;525;0;0;525;275
24Grafo;ds.seed5482.All;447;0;0;447;1354
25Grafo;ds.seed5482.All;1386;0;0;1386;587
26Grafo;ds.seed5482.All;517;0;2;519;4295
27Grafo;ds.seed5482.All;1374;0;0;1374;514
28BuscaEmLargura;ds.seed5482.All;1459;0;0;1459;455
29Grafo;ds.seed5482.All;1157;0;0;1157;463
30Lista;ds.seed5482.All;69;0;0;69;255
31CasamentoExato;ds.seed5482.All;3421;0;0;3421;497
32CasamentoAproximado;ds.seed5482.All;3413;0;0;3413;537
33Identifier;ds.seed5482.All;1200;0;0;1200;294
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5503.All;2243;0;0;2243;329
02MaxMin;ds.seed5503.All;1333;0;0;1333;276
03MaxMin;ds.seed5503.All;1358;0;0;1358;405
04MaxMin;ds.seed5503.All;1630;0;0;1630;361
05Ordenacao;ds.seed5503.All;1972;0;0;1972;326
06Fibonacci;ds.seed5503.All;51;0;0;51;23476
07Fibonacci;ds.seed5503.All;63;0;0;63;40647
08MaxMin;ds.seed5503.All;2041;0;0;2041;350
09Ordenacao;ds.seed5503.All;2031;0;0;2031;399
10AvaliaMultMatrizes;ds.seed5503.All;1863;0;0;1863;344
11ListArray;ds.seed5503.All;936;0;0;936;308
12Lista;ds.seed5503.All;742;0;0;742;262
13Pilha;ds.seed5503.All;811;0;0;811;262
14Pilha;ds.seed5503.All;844;0;0;844;282
15Fila;ds.seed5503.All;480;0;1;481;245
16Fila;ds.seed5503.All;565;0;0;565;255
17Ordenacao;ds.seed5503.All;2417;0;0;2417;447
18FPHeapMax;ds.seed5503.All;682;0;0;682;250
19FPHeapMin;ds.seed5503.All;637;0;0;637;272
20Tabela;ds.seed5503.All;529;0;1;530;270
21ArvoreBinaria;ds.seed5503.All;1495;0;2;1497;345
22TabelaHash;ds.seed5503.All;662;6;1;669;306
23TabelaHash;ds.seed5503.All;474;0;1;475;288
24Grafo;ds.seed5503.All;435;0;0;435;1308
25Grafo;ds.seed5503.All;1254;0;0;1254;424
26Grafo;ds.seed5503.All;481;0;0;481;276
27Grafo;ds.seed5503.All;1509;0;0;1509;593
28BuscaEmLargura;ds.seed5503.All;1420;0;0;1420;514
29Grafo;ds.seed5503.All;1265;0;0;1265;415
30Lista;ds.seed5503.All;67;0;0;67;242
31CasamentoExato;ds.seed5503.All;3259;0;0;3259;453
32CasamentoAproximado;ds.seed5503.All;3404;0;0;3404;489
33Identifier;ds.seed5503.All;1128;0;0;1128;269
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5831.All;2255;0;0;2255;338
02MaxMin;ds.seed5831.All;1639;0;0;1639;390
03MaxMin;ds.seed5831.All;1721;0;0;1721;285
04MaxMin;ds.seed5831.All;1437;0;0;1437;336
05Ordenacao;ds.seed5831.All;1907;0;0;1907;321
06Fibonacci;ds.seed5831.All;69;0;0;69;17188
07Fibonacci;ds.seed5831.All;68;0;0;68;49321
08MaxMin;ds.seed5831.All;2010;0;0;2010;468
09Ordenacao;ds.seed5831.All;2043;0;0;2043;307
10AvaliaMultMatrizes;ds.seed5831.All;1939;0;0;1939;360
11ListArray;ds.seed5831.All;1044;0;0;1044;283
12Lista;ds.seed5831.All;729;0;0;729;268
13Pilha;ds.seed5831.All;848;0;0;848;271
14Pilha;ds.seed5831.All;778;0;0;778;261
15Fila;ds.seed5831.All;302;0;0;302;237
16Fila;ds.seed5831.All;431;0;0;431;250
17Ordenacao;ds.seed5831.All;2411;0;0;2411;349
18FPHeapMax;ds.seed5831.All;625;0;0;625;244
19FPHeapMin;ds.seed5831.All;482;0;0;482;246
20Tabela;ds.seed5831.All;538;0;0;538;249
21ArvoreBinaria;ds.seed5831.All;1566;0;2;1568;427
22TabelaHash;ds.seed5831.All;754;18;2;774;295
23TabelaHash;ds.seed5831.All;400;0;0;400;279
24Grafo;ds.seed5831.All;492;0;0;492;1185
25Grafo;ds.seed5831.All;1443;0;0;1443;433
26Grafo;ds.seed5831.All;511;0;1;512;290
27Grafo;ds.seed5831.All;1275;0;0;1275;448
28BuscaEmLargura;ds.seed5831.All;903;0;0;903;385
29Grafo;ds.seed5831.All;1328;0;0;1328;376
30Lista;ds.seed5831.All;67;0;0;67;264
31CasamentoExato;ds.seed5831.All;3296;0;0;3296;526
32CasamentoAproximado;ds.seed5831.All;3717;0;0;3717;400
33Identifier;ds.seed5831.All;1306;0;0;1306;361
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5838.All;2179;0;0;2179;424
02MaxMin;ds.seed5838.All;1570;0;0;1570;349
03MaxMin;ds.seed5838.All;1443;0;0;1443;332
04MaxMin;ds.seed5838.All;1544;0;0;1544;291
05Ordenacao;ds.seed5838.All;1971;0;0;1971;382
06Fibonacci;ds.seed5838.All;68;0;0;68;46068
07Fibonacci;ds.seed5838.All;48;0;0;48;22733
08MaxMin;ds.seed5838.All;2149;0;0;2149;370
09Ordenacao;ds.seed5838.All;1981;0;0;1981;403
10AvaliaMultMatrizes;ds.seed5838.All;2071;0;0;2071;458
11ListArray;ds.seed5838.All;1077;0;0;1077;271
12Lista;ds.seed5838.All;787;0;0;787;272
13Pilha;ds.seed5838.All;886;0;0;886;261
14Pilha;ds.seed5838.All;567;0;1;568;253
15Fila;ds.seed5838.All;389;0;0;389;291
16Fila;ds.seed5838.All;377;0;1;378;242
17Ordenacao;ds.seed5838.All;2507;0;0;2507;455
18FPHeapMax;ds.seed5838.All;832;0;0;832;287
19FPHeapMin;ds.seed5838.All;281;0;0;281;250
20Tabela;ds.seed5838.All;688;0;0;688;269
21ArvoreBinaria;ds.seed5838.All;1578;0;2;1580;456
22TabelaHash;ds.seed5838.All;679;5;2;686;299
23TabelaHash;ds.seed5838.All;393;0;1;394;279
24Grafo;ds.seed5838.All;288;0;0;288;1383
25Grafo;ds.seed5838.All;1361;0;0;1361;558
26Grafo;ds.seed5838.All;283;0;0;283;284
27Grafo;ds.seed5838.All;1305;0;0;1305;425
28BuscaEmLargura;ds.seed5838.All;1120;0;0;1120;412
29Grafo;ds.seed5838.All;778;0;0;778;358
30Lista;ds.seed5838.All;68;0;0;68;247
31CasamentoExato;ds.seed5838.All;3435;0;0;3435;422
32CasamentoAproximado;ds.seed5838.All;3606;0;0;3606;416
33Identifier;ds.seed5838.All;1305;0;0;1305;327
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed6733.All;2288;0;0;2288;454
02MaxMin;ds.seed6733.All;1497;0;0;1497;286
03MaxMin;ds.seed6733.All;1267;0;0;1267;336
04MaxMin;ds.seed6733.All;1536;0;0;1536;399
05Ordenacao;ds.seed6733.All;2031;0;0;2031;416
06Fibonacci;ds.seed6733.All;68;0;0;68;17206
07Fibonacci;ds.seed6733.All;77;0;0;77;17380
08MaxMin;ds.seed6733.All;2237;0;0;2237;400
09Ordenacao;ds.seed6733.All;1814;0;0;1814;387
10AvaliaMultMatrizes;ds.seed6733.All;1794;0;0;1794;324
