PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed1448.Evo;4;0;0;4;360
02MaxMin;ds.seed1448.Evo;4;0;0;4;369
03MaxMin;ds.seed1448.Evo;4;0;0;4;352
04MaxMin;ds.seed1448.Evo;8;0;0;8;349
05Ordenacao;ds.seed1448.Evo;2;0;0;2;515
06Fibonacci;ds.seed1448.Evo;2;0;0;2;388
07Fibonacci;ds.seed1448.Evo;2;0;0;2;418
08MaxMin;ds.seed1448.Evo;2;0;0;2;631
09Ordenacao;ds.seed1448.Evo;2;0;0;2;393
10AvaliaMultMatrizes;ds.seed1448.Evo;2;0;0;2;353
11ListArray;ds.seed1448.Evo;4;0;0;4;364
12Lista;ds.seed1448.Evo;3;0;0;3;443
13Pilha;ds.seed1448.Evo;5;0;0;5;549
14Pilha;ds.seed1448.Evo;3;0;0;3;599
15Fila;ds.seed1448.Evo;4;0;0;4;334
16Fila;ds.seed1448.Evo;3;0;0;3;322
17Ordenacao;ds.seed1448.Evo;10;0;0;10;378
18FPHeapMax;ds.seed1448.Evo;14;0;1;15;461
19FPHeapMin;ds.seed1448.Evo;11;0;0;11;353
20Tabela;ds.seed1448.Evo;5;0;0;5;405
21ArvoreBinaria;ds.seed1448.Evo;11;0;2;13;399
22TabelaHash;ds.seed1448.Evo;5;0;0;5;655
23TabelaHash;ds.seed1448.Evo;8;0;0;8;393
24Grafo;ds.seed1448.Evo;1;0;0;1;368
25Grafo;ds.seed1448.Evo;9;0;0;9;549
26Grafo;ds.seed1448.Evo;8;0;0;8;630
27Grafo;ds.seed1448.Evo;8;0;0;8;696
28BuscaEmLargura;ds.seed1448.Evo;8;0;0;8;565
29Grafo;ds.seed1448.Evo;8;0;0;8;513
30Lista;ds.seed1448.Evo;5;0;0;5;488
31CasamentoExato;ds.seed1448.Evo;11;0;0;11;450
32CasamentoAproximado;ds.seed1448.Evo;3;0;0;3;372
33Identifier;ds.seed1448.Evo;6;0;0;6;387
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5311.Evo;3;0;0;3;315
02MaxMin;ds.seed5311.Evo;4;0;0;4;330
03MaxMin;ds.seed5311.Evo;4;0;0;4;332
04MaxMin;ds.seed5311.Evo;8;0;0;8;348
05Ordenacao;ds.seed5311.Evo;2;0;0;2;329
