PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed1448.Randoop;2264;0;0;2264;111
02MaxMin;ds.seed1448.Randoop;1620;0;0;1620;127
03MaxMin;ds.seed1448.Randoop;1623;0;0;1623;118
04MaxMin;ds.seed1448.Randoop;1328;0;0;1328;99
05Ordenacao;ds.seed1448.Randoop;1940;0;0;1940;128
06Fibonacci;ds.seed1448.Randoop;34;0;0;34;2978
07Fibonacci;ds.seed1448.Randoop;34;0;0;34;2978
08MaxMin;ds.seed1448.Randoop;2361;0;0;2361;127
09Ordenacao;ds.seed1448.Randoop;1864;0;0;1864;90
10AvaliaMultMatrizes;ds.seed1448.Randoop;1687;0;0;1687;113
11ListArray;ds.seed1448.Randoop;738;0;0;738;71
12Lista;ds.seed1448.Randoop;799;0;0;799;91
13Pilha;ds.seed1448.Randoop;718;0;0;718;68
14Pilha;ds.seed1448.Randoop;779;0;0;779;54
15Fila;ds.seed1448.Randoop;833;0;0;833;99
16Fila;ds.seed1448.Randoop;326;0;0;326;41
17Ordenacao;ds.seed1448.Randoop;2443;0;0;2443;155
18FPHeapMax;ds.seed1448.Randoop;494;0;0;494;42
19FPHeapMin;ds.seed1448.Randoop;457;0;0;457;38
20Tabela;ds.seed1448.Randoop;686;0;0;686;46
21ArvoreBinaria;ds.seed1448.Randoop;1517;0;0;1517;136
22TabelaHash;ds.seed1448.Randoop;533;26;0;559;77
23TabelaHash;ds.seed1448.Randoop;409;11;0;420;71
24Grafo;ds.seed1448.Randoop;356;0;0;356;687
25Grafo;ds.seed1448.Randoop;1118;0;0;1118;167
26Grafo;ds.seed1448.Randoop;451;0;0;451;107
27Grafo;ds.seed1448.Randoop;1417;0;0;1417;158
28BuscaEmLargura;ds.seed1448.Randoop;1326;0;0;1326;160
29Grafo;ds.seed1448.Randoop;1350;0;0;1350;139
30Lista;ds.seed1448.Randoop;60;0;0;60;16
31CasamentoExato;ds.seed1448.Randoop;3729;0;0;3729;215
32CasamentoAproximado;ds.seed1448.Randoop;3821;0;0;3821;188
33Identifier;ds.seed1448.Randoop;1259;0;0;1259;91
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5311.Randoop;2194;0;0;2194;109
02MaxMin;ds.seed5311.Randoop;1666;0;0;1666;117
03MaxMin;ds.seed5311.Randoop;1712;0;0;1712;88
04MaxMin;ds.seed5311.Randoop;1641;0;0;1641;90
05Ordenacao;ds.seed5311.Randoop;1958;0;0;1958;89
06Fibonacci;ds.seed5311.Randoop;34;0;0;34;2961
