PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5503.JTExpert;3;0;0;3;7
02MaxMin;ds.seed5503.JTExpert;3;0;0;3;8
03MaxMin;ds.seed5503.JTExpert;4;0;0;4;8
04MaxMin;ds.seed5503.JTExpert;9;0;0;9;7
05Ordenacao;ds.seed5503.JTExpert;3;0;0;3;5
06Fibonacci;ds.seed5503.JTExpert;2;0;0;2;9
07Fibonacci;ds.seed5503.JTExpert;2;0;0;2;10
08MaxMin;ds.seed5503.JTExpert;5;0;0;5;12
09Ordenacao;ds.seed5503.JTExpert;3;0;0;3;8
10AvaliaMultMatrizes;ds.seed5503.JTExpert;4;0;0;4;8
11ListArray;ds.seed5503.JTExpert;4;0;0;4;9
12Lista;ds.seed5503.JTExpert;2;0;0;2;7
13Pilha;ds.seed5503.JTExpert;5;0;0;5;15
14Pilha;ds.seed5503.JTExpert;3;0;0;3;48
15Fila;ds.seed5503.JTExpert;4;0;0;4;8
16Fila;ds.seed5503.JTExpert;4;0;0;4;26
17Ordenacao;ds.seed5503.JTExpert;16;0;0;16;9
18FPHeapMax;ds.seed5503.JTExpert;12;0;0;12;12
19FPHeapMin;ds.seed5503.JTExpert;14;0;0;14;20
20Tabela;ds.seed5503.JTExpert;2;0;1;3;27
21ArvoreBinaria;ds.seed5503.JTExpert;11;0;0;11;15
22TabelaHash;ds.seed5503.JTExpert;7;0;0;7;16
23TabelaHash;ds.seed5503.JTExpert;8;0;1;9;26
24Grafo;ds.seed5503.JTExpert;9;0;0;9;38
25Grafo;ds.seed5503.JTExpert;16;0;0;16;28
26Grafo;ds.seed5503.JTExpert;13;0;0;13;18
27Grafo;ds.seed5503.JTExpert;12;0;0;12;35
28BuscaEmLargura;ds.seed5503.JTExpert;13;0;0;13;32
29Grafo;ds.seed5503.JTExpert;13;0;0;13;31
30Lista;ds.seed5503.JTExpert;3;0;0;3;11
31CasamentoExato;ds.seed5503.JTExpert;16;0;0;16;10
32CasamentoAproximado;ds.seed5503.JTExpert;4;0;0;4;7
33Identifier;ds.seed5503.JTExpert;7;0;0;7;10
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5831.JTExpert;3;0;0;3;10
02MaxMin;ds.seed5831.JTExpert;3;0;0;3;8
03MaxMin;ds.seed5831.JTExpert;4;0;0;4;6
04MaxMin;ds.seed5831.JTExpert;9;0;0;9;7
05Ordenacao;ds.seed5831.JTExpert;3;0;0;3;10
06Fibonacci;ds.seed5831.JTExpert;2;0;0;2;10
07Fibonacci;ds.seed5831.JTExpert;1;0;0;1;8
08MaxMin;ds.seed5831.JTExpert;5;0;0;5;10
09Ordenacao;ds.seed5831.JTExpert;3;0;0;3;7
10AvaliaMultMatrizes;ds.seed5831.JTExpert;3;0;0;3;9
11ListArray;ds.seed5831.JTExpert;3;0;0;3;15
12Lista;ds.seed5831.JTExpert;3;0;0;3;12
13Pilha;ds.seed5831.JTExpert;3;0;0;3;7
14Pilha;ds.seed5831.JTExpert;3;0;0;3;11
15Fila;ds.seed5831.JTExpert;4;0;0;4;12
16Fila;ds.seed5831.JTExpert;5;0;0;5;9
17Ordenacao;ds.seed5831.JTExpert;16;0;0;16;14
18FPHeapMax;ds.seed5831.JTExpert;9;0;0;9;10
19FPHeapMin;ds.seed5831.JTExpert;13;0;0;13;16
20Tabela;ds.seed5831.JTExpert;2;0;0;2;10
21ArvoreBinaria;ds.seed5831.JTExpert;11;0;0;11;14
22TabelaHash;ds.seed5831.JTExpert;6;0;1;7;21
23TabelaHash;ds.seed5831.JTExpert;9;0;0;9;12
24Grafo;ds.seed5831.JTExpert;9;0;0;9;81
25Grafo;ds.seed5831.JTExpert;14;0;0;14;18
26Grafo;ds.seed5831.JTExpert;13;0;1;14;32
27Grafo;ds.seed5831.JTExpert;13;0;0;13;34
28BuscaEmLargura;ds.seed5831.JTExpert;14;0;0;14;45
29Grafo;ds.seed5831.JTExpert;16;0;0;16;26
30Lista;ds.seed5831.JTExpert;2;0;0;2;12
31CasamentoExato;ds.seed5831.JTExpert;14;0;0;14;20
32CasamentoAproximado;ds.seed5831.JTExpert;4;0;0;4;25
33Identifier;ds.seed5831.JTExpert;6;0;0;6;11
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed5838.JTExpert;3;0;0;3;8
02MaxMin;ds.seed5838.JTExpert;3;0;0;3;9
03MaxMin;ds.seed5838.JTExpert;4;0;0;4;6
04MaxMin;ds.seed5838.JTExpert;7;0;0;7;9
05Ordenacao;ds.seed5838.JTExpert;3;0;0;3;6
06Fibonacci;ds.seed5838.JTExpert;2;0;0;2;7
07Fibonacci;ds.seed5838.JTExpert;1;0;0;1;11
08MaxMin;ds.seed5838.JTExpert;5;0;0;5;6
09Ordenacao;ds.seed5838.JTExpert;3;0;0;3;6
10AvaliaMultMatrizes;ds.seed5838.JTExpert;3;0;0;3;10
11ListArray;ds.seed5838.JTExpert;3;0;0;3;13
12Lista;ds.seed5838.JTExpert;3;0;0;3;9
13Pilha;ds.seed5838.JTExpert;5;0;0;5;12
14Pilha;ds.seed5838.JTExpert;2;0;1;3;25
15Fila;ds.seed5838.JTExpert;4;0;0;4;10
16Fila;ds.seed5838.JTExpert;4;0;0;4;9
17Ordenacao;ds.seed5838.JTExpert;18;0;0;18;10
18FPHeapMax;ds.seed5838.JTExpert;9;0;0;9;11
19FPHeapMin;ds.seed5838.JTExpert;14;0;0;14;12
20Tabela;ds.seed5838.JTExpert;3;0;0;3;8
21ArvoreBinaria;ds.seed5838.JTExpert;11;0;0;11;10
22TabelaHash;ds.seed5838.JTExpert;6;0;0;6;13
23TabelaHash;ds.seed5838.JTExpert;10;0;0;10;11
24Grafo;ds.seed5838.JTExpert;8;0;0;8;101
25Grafo;ds.seed5838.JTExpert;13;0;0;13;19
26Grafo;ds.seed5838.JTExpert;14;0;0;14;40
27Grafo;ds.seed5838.JTExpert;16;0;0;16;70
28BuscaEmLargura;ds.seed5838.JTExpert;15;0;0;15;38
29Grafo;ds.seed5838.JTExpert;15;0;0;15;41
30Lista;ds.seed5838.JTExpert;3;0;0;3;10
31CasamentoExato;ds.seed5838.JTExpert;15;0;0;15;26
32CasamentoAproximado;ds.seed5838.JTExpert;4;0;0;4;10
33Identifier;ds.seed5838.JTExpert;5;0;0;5;11
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed6733.JTExpert;3;0;0;3;6
02MaxMin;ds.seed6733.JTExpert;3;0;0;3;7
03MaxMin;ds.seed6733.JTExpert;4;0;0;4;9
04MaxMin;ds.seed6733.JTExpert;7;0;0;7;11
05Ordenacao;ds.seed6733.JTExpert;3;0;0;3;12
06Fibonacci;ds.seed6733.JTExpert;1;0;0;1;11
07Fibonacci;ds.seed6733.JTExpert;2;0;0;2;10
08MaxMin;ds.seed6733.JTExpert;4;0;0;4;8
09Ordenacao;ds.seed6733.JTExpert;3;0;0;3;12
10AvaliaMultMatrizes;ds.seed6733.JTExpert;2;0;0;2;12
11ListArray;ds.seed6733.JTExpert;3;0;0;3;26
12Lista;ds.seed6733.JTExpert;3;0;0;3;14
13Pilha;ds.seed6733.JTExpert;3;0;0;3;8
14Pilha;ds.seed6733.JTExpert;2;0;2;4;31
15Fila;ds.seed6733.JTExpert;5;0;0;5;17
16Fila;ds.seed6733.JTExpert;5;0;0;5;12
17Ordenacao;ds.seed6733.JTExpert;16;0;0;16;14
18FPHeapMax;ds.seed6733.JTExpert;10;0;0;10;36
19FPHeapMin;ds.seed6733.JTExpert;13;0;0;13;26
20Tabela;ds.seed6733.JTExpert;3;0;0;3;13
21ArvoreBinaria;ds.seed6733.JTExpert;13;0;0;13;18
22TabelaHash;ds.seed6733.JTExpert;7;0;1;8;88
23TabelaHash;ds.seed6733.JTExpert;11;0;0;11;22
24Grafo;ds.seed6733.JTExpert;8;0;0;8;51
25Grafo;ds.seed6733.JTExpert;17;0;0;17;34
26Grafo;ds.seed6733.JTExpert;16;0;0;16;29
27Grafo;ds.seed6733.JTExpert;15;0;0;15;49
28BuscaEmLargura;ds.seed6733.JTExpert;15;0;1;16;45
29Grafo;ds.seed6733.JTExpert;13;0;0;13;35
30Lista;ds.seed6733.JTExpert;4;0;0;4;12
31CasamentoExato;ds.seed6733.JTExpert;15;0;0;15;20
32CasamentoAproximado;ds.seed6733.JTExpert;4;0;0;4;10
33Identifier;ds.seed6733.JTExpert;4;0;0;4;8
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed7992.JTExpert;3;0;0;3;8
02MaxMin;ds.seed7992.JTExpert;2;0;0;2;7
03MaxMin;ds.seed7992.JTExpert;3;0;0;3;7
04MaxMin;ds.seed7992.JTExpert;9;0;0;9;6
05Ordenacao;ds.seed7992.JTExpert;3;0;0;3;7
06Fibonacci;ds.seed7992.JTExpert;1;0;0;1;5
07Fibonacci;ds.seed7992.JTExpert;2;0;0;2;8
08MaxMin;ds.seed7992.JTExpert;5;0;0;5;7
09Ordenacao;ds.seed7992.JTExpert;3;0;0;3;10
10AvaliaMultMatrizes;ds.seed7992.JTExpert;3;0;0;3;10
11ListArray;ds.seed7992.JTExpert;2;0;1;3;62
12Lista;ds.seed7992.JTExpert;2;0;0;2;11
13Pilha;ds.seed7992.JTExpert;5;0;0;5;8
14Pilha;ds.seed7992.JTExpert;4;0;0;4;9
15Fila;ds.seed7992.JTExpert;6;0;0;6;15
16Fila;ds.seed7992.JTExpert;4;0;0;4;15
17Ordenacao;ds.seed7992.JTExpert;18;0;0;18;14
18FPHeapMax;ds.seed7992.JTExpert;10;0;0;10;9
19FPHeapMin;ds.seed7992.JTExpert;12;0;0;12;31
20Tabela;ds.seed7992.JTExpert;3;0;0;3;11
21ArvoreBinaria;ds.seed7992.JTExpert;14;0;0;14;21
22TabelaHash;ds.seed7992.JTExpert;5;1;0;6;13
23TabelaHash;ds.seed7992.JTExpert;10;0;0;10;10
24Grafo;ds.seed7992.JTExpert;9;0;1;10;63
25Grafo;ds.seed7992.JTExpert;15;1;0;16;26
26Grafo;ds.seed7992.JTExpert;11;0;0;11;16
27Grafo;ds.seed7992.JTExpert;15;0;0;15;32
28BuscaEmLargura;ds.seed7992.JTExpert;15;0;0;15;28
29Grafo;ds.seed7992.JTExpert;14;0;0;14;31
30Lista;ds.seed7992.JTExpert;4;0;0;4;9
31CasamentoExato;ds.seed7992.JTExpert;16;0;0;16;13
32CasamentoAproximado;ds.seed7992.JTExpert;4;0;0;4;7
33Identifier;ds.seed7992.JTExpert;6;0;0;6;8
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed9006.JTExpert;3;0;0;3;10
02MaxMin;ds.seed9006.JTExpert;3;0;0;3;6
03MaxMin;ds.seed9006.JTExpert;4;0;0;4;6
04MaxMin;ds.seed9006.JTExpert;8;0;0;8;10
05Ordenacao;ds.seed9006.JTExpert;3;0;0;3;10
06Fibonacci;ds.seed9006.JTExpert;1;0;0;1;7
07Fibonacci;ds.seed9006.JTExpert;1;0;0;1;7
08MaxMin;ds.seed9006.JTExpert;4;0;0;4;15
09Ordenacao;ds.seed9006.JTExpert;3;0;0;3;6
10AvaliaMultMatrizes;ds.seed9006.JTExpert;4;0;0;4;7
11ListArray;ds.seed9006.JTExpert;3;0;0;3;11
12Lista;ds.seed9006.JTExpert;2;0;1;3;13
13Pilha;ds.seed9006.JTExpert;3;0;1;4;21
14Pilha;ds.seed9006.JTExpert;3;0;0;3;7
15Fila;ds.seed9006.JTExpert;4;0;0;4;9
16Fila;ds.seed9006.JTExpert;3;0;0;3;10
17Ordenacao;ds.seed9006.JTExpert;16;0;0;16;10
18FPHeapMax;ds.seed9006.JTExpert;11;0;0;11;12
19FPHeapMin;ds.seed9006.JTExpert;13;0;0;13;9
20Tabela;ds.seed9006.JTExpert;1;1;0;2;15
21ArvoreBinaria;ds.seed9006.JTExpert;11;0;0;11;17
22TabelaHash;ds.seed9006.JTExpert;7;0;0;7;14
23TabelaHash;ds.seed9006.JTExpert;11;0;0;11;20
24Grafo;ds.seed9006.JTExpert;8;0;0;8;106
25Grafo;ds.seed9006.JTExpert;14;0;0;14;28
26Grafo;ds.seed9006.JTExpert;15;0;0;15;46
27Grafo;ds.seed9006.JTExpert;13;0;0;13;43
28BuscaEmLargura;ds.seed9006.JTExpert;13;0;1;14;45
29Grafo;ds.seed9006.JTExpert;13;0;0;13;32
30Lista;ds.seed9006.JTExpert;3;0;0;3;16
31CasamentoExato;ds.seed9006.JTExpert;15;0;0;15;24
32CasamentoAproximado;ds.seed9006.JTExpert;3;0;0;3;10
33Identifier;ds.seed9006.JTExpert;5;0;0;5;9
PRJ;TestSet;Success;Ignored;Failed;Total;Time(ms)
01Max;ds.seed9121.JTExpert;3;0;0;3;10
02MaxMin;ds.seed9121.JTExpert;3;0;0;3;11
03MaxMin;ds.seed9121.JTExpert;4;0;0;4;7
04MaxMin;ds.seed9121.JTExpert;8;0;0;8;11
05Ordenacao;ds.seed9121.JTExpert;3;0;0;3;10
06Fibonacci;ds.seed9121.JTExpert;2;0;0;2;10
07Fibonacci;ds.seed9121.JTExpert;2;0;0;2;5
08MaxMin;ds.seed9121.JTExpert;4;0;0;4;7
09Ordenacao;ds.seed9121.JTExpert;2;0;0;2;7
10AvaliaMultMatrizes;ds.seed9121.JTExpert;3;0;0;3;9
11ListArray;ds.seed9121.JTExpert;3;0;0;3;12
12Lista;ds.seed9121.JTExpert;4;0;0;4;9
13Pilha;ds.seed9121.JTExpert;3;0;0;3;592
14Pilha;ds.seed9121.JTExpert;3;0;1;4;31
15Fila;ds.seed9121.JTExpert;3;0;0;3;33
16Fila;ds.seed9121.JTExpert;3;0;0;3;8
17Ordenacao;ds.seed9121.JTExpert;15;0;0;15;7
18FPHeapMax;ds.seed9121.JTExpert;11;0;0;11;7
19FPHeapMin;ds.seed9121.JTExpert;14;0;0;14;11
20Tabela;ds.seed9121.JTExpert;3;0;0;3;34
21ArvoreBinaria;ds.seed9121.JTExpert;14;0;0;14;15
22TabelaHash;ds.seed9121.JTExpert;7;0;0;7;129
23TabelaHash;ds.seed9121.JTExpert;11;0;0;11;12
24Grafo;ds.seed9121.JTExpert;9;0;0;9;35
25Grafo;ds.seed9121.JTExpert;15;0;0;15;23
26Grafo;ds.seed9121.JTExpert;11;0;0;11;20
27Grafo;ds.seed9121.JTExpert;14;0;0;14;25
28BuscaEmLargura;ds.seed9121.JTExpert;15;0;0;15;25
29Grafo;ds.seed9121.JTExpert;17;0;0;17;22
30Lista;ds.seed9121.JTExpert;2;0;0;2;10
31CasamentoExato;ds.seed9121.JTExpert;16;0;0;16;14
32CasamentoAproximado;ds.seed9121.JTExpert;4;0;0;4;8
33Identifier;ds.seed9121.JTExpert;5;0;0;5;7
