Nr. NCSS CCN JVDC Function
  1    2   1    0 ds.AgmPrim.AgmPrim(Grafo)
  2   25   7    0 ds.AgmPrim.obterAgm(int)
  3    2   1    0 ds.AgmPrim.antecessor(int)
  4    2   1    0 ds.AgmPrim.peso(int)
  5    4   3    0 ds.AgmPrim.imprime()
Average Function NCSS:       7.00
Average Function CCN:        2.60
Average Function JVDC:       0.00
Program NCSS:               40.00
