Nr. NCSS CCN JVDC Function
  1    4   1    0 ds.Fila.Fila()
  2    5   1    0 ds.Fila.enfileira(Object)
  3    7   3    0 ds.Fila.desenfileira()
  4    2   1    0 ds.Fila.vazia()
  5    7   2    0 ds.Fila.imprime()
Average Function NCSS:       5.00
Average Function CCN:        1.60
Average Function JVDC:       0.00
Program NCSS:               32.00
