Nr. NCSS CCN JVDC Function
  1    3   1    0 ds.Pilha.Pilha()
  2    6   1    0 ds.Pilha.empilha(Object)
  3    7   3    0 ds.Pilha.desempilha()
  4    2   1    0 ds.Pilha.vazia()
  5    2   1    0 ds.Pilha.tamanho()
Average Function NCSS:       4.00
Average Function CCN:        1.40
Average Function JVDC:       0.00
Program NCSS:               27.00
