Nr. NCSS CCN JVDC Function
  1    4   1    0 ds.Grafo.Aresta.Aresta(int,int,int)
  2    2   1    0 ds.Grafo.Aresta.peso()
  3    2   1    0 ds.Grafo.Aresta.v1()
  4    2   1    0 ds.Grafo.Aresta.v2()
  5   14   2    0 ds.Grafo.Grafo(int)
  6   10   2    0 ds.Grafo.insereAresta(int,int,int)
  7    5   4    0 ds.Grafo.existeAresta(int,int)
  8    2   1    0 ds.Grafo.listaAdjVazia(int)
  9    3   1    0 ds.Grafo.primeiroListaAdj(int)
 10    6   3    0 ds.Grafo.proxAdj(int)
 11   15   6    0 ds.Grafo.retiraAresta(int,int)
 12    5   3    0 ds.Grafo.imprime()
 13    2   1    0 ds.Grafo.numVertices()
 14    9   4    0 ds.Grafo.grafoTransposto()
Average Function NCSS:       5.79
Average Function CCN:        2.21
Average Function JVDC:       0.00
Program NCSS:               88.00
