Nr. NCSS CCN JVDC Function
  1    4   1    0 ds.Fila.Fila()
  2    5   3    0 ds.Fila.enfileira(Object)
  3    6   3    0 ds.Fila.desenfileira()
  4    2   1    0 ds.Fila.vazia()
  5    3   2    0 ds.Fila.imprime()
Average Function NCSS:       4.00
Average Function CCN:        2.00
Average Function JVDC:       0.00
Program NCSS:               24.00
