1;6;6;7;7;6;6;6;3;6;3;3;7;3;3;4;7;6;6;7;7;3;6;3;6;7;3;6;6;6;7;
2;5;5;5;5;5;5;3;5;8;7;8;5;3;3;5;4;7;5;5;7;3;7;3;7;8;7;5;7;5;5;
3;5;5;5;5;5;5;3;5;8;7;8;5;3;3;5;4;3;5;5;7;3;7;3;7;8;7;4;7;5;5;
4;7;7;6;7;7;7;7;7;7;7;6;8;7;6;5;6;7;8;8;7;7;6;7;7;7;4;7;8;8;7;
5;4;4;3;4;4;4;2;3;7;3;5;4;4;4;3;2;3;4;4;3;3;4;3;4;2;3;3;4;4;7;
6;12;12;12;12;12;12;12;12;10;12;12;12;12;12;12;12;12;12;12;10;10;12;12;5;12;12;12;12;10;12;
7;12;12;12;12;12;12;12;12;10;12;12;12;12;12;12;12;12;12;12;10;10;12;12;5;12;12;12;12;10;12;
8;9;6;6;7;11;7;10;6;6;4;6;6;4;11;8;10;6;7;8;7;9;6;8;4;5;10;8;7;11;11;
9;11;11;2;11;12;11;12;2;11;12;12;11;11;12;12;12;11;12;12;3;11;2;12;2;12;11;12;11;12;12;
10;22;24;22;22;24;21;23;21;21;20;22;6;24;21;23;25;25;23;20;12;22;24;22;21;23;13;22;22;13;23;
11;11;6;12;12;11;14;12;3;13;13;10;11;7;10;12;12;10;11;14;8;15;10;4;13;8;13;10;8;14;7;
12;11;11;14;15;12;12;12;12;11;9;11;15;14;14;12;12;11;8;15;14;12;15;11;11;14;13;15;11;8;12;
13;18;22;17;6;16;17;15;22;20;17;13;19;22;15;19;22;22;13;23;6;15;9;13;17;16;17;17;18;20;9;
14;12;12;18;17;17;14;20;10;14;17;18;15;20;21;12;20;14;12;20;20;15;21;18;23;12;20;23;17;20;18;
15;15;17;17;19;16;13;19;10;19;15;10;12;13;20;12;19;13;20;25;10;24;13;17;16;14;8;14;23;16;16;
16;15;15;22;22;22;18;24;13;18;22;22;19;22;22;15;22;18;15;24;25;19;25;20;22;15;25;25;22;24;22;
17;29;28;32;29;30;30;29;30;30;31;30;30;30;31;27;31;32;32;30;29;24;26;28;28;32;30;26;32;29;33;
18;26;27;16;20;20;22;20;24;19;25;24;26;24;20;28;26;27;22;25;25;16;26;24;26;23;21;27;19;21;23;
19;32;27;24;27;28;29;31;24;28;20;28;21;30;26;32;29;27;29;26;28;23;27;35;22;31;23;27;31;20;22;
20;7;7;12;4;5;10;7;9;10;8;8;11;7;10;12;5;10;10;1;10;7;8;10;10;6;13;12;8;6;4;
21;24;24;12;24;23;24;24;20;24;20;27;19;27;19;12;19;23;12;20;17;23;19;24;16;27;16;16;19;20;27;
22;45;47;34;47;34;48;47;35;46;34;35;30;49;48;34;47;33;31;45;39;31;46;45;34;45;37;47;34;35;45;
23;65;85;71;89;86;83;73;64;87;92;94;61;87;56;62;87;93;73;59;62;86;75;74;68;61;87;83;87;85;73;
24;71;88;67;54;68;72;63;70;68;72;80;73;67;71;73;70;65;70;68;87;74;68;66;67;75;75;67;76;73;69;
25;39;29;54;52;43;45;36;43;40;35;46;29;43;66;49;41;43;40;38;36;50;35;37;46;50;41;33;34;41;27;
26;36;23;38;33;27;29;25;44;35;27;32;48;38;30;46;29;21;19;40;39;27;50;44;30;48;39;31;42;46;30;
27;40;40;32;10;32;37;20;32;20;26;52;25;35;36;45;38;18;37;28;34;29;54;31;26;25;32;29;15;15;50;
28;40;40;32;10;32;37;20;32;20;26;52;25;35;36;45;38;18;37;28;34;29;54;31;26;25;32;29;15;15;50;
29;40;40;32;10;32;37;20;32;20;26;52;25;35;36;45;38;18;37;28;34;29;54;31;26;25;32;29;15;15;50;
30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
31;90;86;86;87;83;96;84;83;82;78;95;82;71;98;92;72;70;91;92;82;89;86;100;83;76;87;90;90;73;80;
32;27;28;27;23;33;34;22;24;23;28;28;30;29;32;30;29;32;27;28;31;23;29;36;29;33;33;29;30;26;37;
