Nr. NCSS CCN JVDC Function
  1    3   1    0 ds.Pilha.Pilha()
  2    5   3    0 ds.Pilha.empilha(Object)
  3    4   3    0 ds.Pilha.desempilha()
  4    2   1    0 ds.Pilha.vazia()
  5    2   1    0 ds.Pilha.tamanho()
Average Function NCSS:       3.20
Average Function CCN:        1.80
Average Function JVDC:       0.00
Program NCSS:               20.00
