Nr. NCSS CCN JVDC Function
  1    3   1    0 ds.FPHeapMax.FPHeapMax(int)
  2   12   5    0 ds.FPHeapMax.refaz(int,int)
  3    5   2    0 ds.FPHeapMax.constroi()
  4    2   1    0 ds.FPHeapMax.max()
  5    9   3    0 ds.FPHeapMax.retiraMax()
  6    9   5    0 ds.FPHeapMax.aumentaChave(int,Object)
  7    8   3    0 ds.FPHeapMax.insere(Item)
  8    4   2    0 ds.FPHeapMax.imprime()
  9    3   2    0 ds.FPHeapMax.copia(Item[])
Average Function NCSS:       6.11
Average Function CCN:        2.67
Average Function JVDC:       0.00
Program NCSS:               59.00
