Nr. NCSS CCN JVDC Function
  1   30   9    0 ds.MaxMin3.maxMin3(int[],int)
Average Function NCSS:      30.00
Average Function CCN:        9.00
Average Function JVDC:       0.00
Program NCSS:               32.00
