Nr. NCSS CCN JVDC Function
  1    3   1    0 ds.FPHeapMin.FPHeapMin(int)
  2    3   1    0 ds.FPHeapMin.FPHeapMin(Item[])
  3   12   5    0 ds.FPHeapMin.refaz(int,int)
  4    5   2    0 ds.FPHeapMin.constroi()
  5    2   1    0 ds.FPHeapMin.min()
  6    9   3    0 ds.FPHeapMin.retiraMin()
  7    9   5    0 ds.FPHeapMin.diminuiChave(int,Object)
  8    8   3    0 ds.FPHeapMin.insere(Item)
  9    4   2    0 ds.FPHeapMin.imprime()
 10    3   2    0 ds.FPHeapMin.copia(Item[])
Average Function NCSS:       5.80
Average Function CCN:        2.50
Average Function JVDC:       0.00
Program NCSS:               62.00
